T mu mu_error
1.0 -3.3402599327081672 0.41080596386567236
1.05 -3.293323771970397 0.3308614945548871
1.1 -3.3050673763642955 0.2645641917873801
1.15 -3.223823576331205 0.21964647154818112
1.2 -3.2200177676423736 0.18167215286264884
1.25 -3.166190648442343 0.1562962357503328
1.3 -3.134910998165242 0.13545878833130034
1.35 -3.0877246360507176 0.1246826408957823
1.4 -3.0703590149711837 0.1181729405693522
1.45 -3.0407879090146714 0.11100279599440102
1.5 -3.005680993926491 0.10617668094911188
1.55 -2.978232966790271 0.10120448139461455
1.6 -2.948022330099752 0.09776503118274736
1.65 -2.9220577798590543 0.09653207471419376
1.7 -2.889766238573406 0.09333946389273406
1.75 -2.868318007994122 0.0922953020031841
1.8 -2.843119478792724 0.08956172604003751
1.85 -2.8169027231277184 0.0901794198275253
1.9 -2.7936829837294406 0.08869174604099221
1.95 -2.769459589309443 0.0888880308942518
2.0 -2.7457898557138853 0.08889036196304932
